"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\obj\project.packagespec.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\App.axaml", "XML", 0, 32, 0, 0, 0, 2, 34
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\App.axaml.cs", "C#", 77, 0, 0, 0, 23, 15, 115
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ChatClient.Desktop.csproj", "XML", 0, 74, 0, 0, 1, 12, 87
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Program.cs", "C#", 20, 0, 0, 0, 4, 5, 29
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Publish.xml", "XML", 0, 13, 0, 0, 0, 1, 14
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\ChatPages\ChatViewModel.cs", "C#", 9, 0, 0, 0, 0, 3, 12
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\ChatPages\ContactsViewModel.cs", "C#", 89, 0, 0, 0, 0, 12, 101
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\ChatPages\ThemeViewModel.cs", "C#", 56, 0, 0, 0, 0, 12, 68
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\ChatPages\UserOptionsViewModel.cs", "C#", 57, 0, 0, 0, 0, 10, 67
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\Login\LoginViewModel.cs", "C#", 162, 0, 0, 0, 3, 35, 200
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\Login\LoginWindowViewModel.cs", "C#", 31, 0, 0, 0, 0, 6, 37
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\Login\RegisterWindowViewModel.cs", "C#", 162, 0, 0, 0, 0, 30, 192
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\MainWindowViewModel.cs", "C#", 154, 0, 0, 0, 4, 30, 188
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\UserControls\UserHeadEditViewModel.cs", "C#", 151, 0, 0, 0, 2, 34, 187
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\ChatView.axaml", "XML", 0, 47, 0, 0, 0, 4, 51
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\ChatView.axaml.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\ContactsView.axaml", "XML", 0, 73, 0, 0, 0, 4, 77
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\ContactsView.axaml.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\ThemeView.axaml", "XML", 0, 239, 0, 0, 0, 5, 244
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\ThemeView.axaml.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\UserOptionView.axaml", "XML", 0, 170, 0, 0, 0, 1, 171
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\UserOptionView.axaml.cs", "C#", 25, 0, 0, 0, 0, 3, 28
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\Login\LoginView.axaml", "XML", 0, 84, 0, 0, 0, 1, 85
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\Login\LoginView.axaml.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\Login\LoginWindowView.axaml", "XML", 0, 150, 0, 0, 0, 3, 153
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\Login\LoginWindowView.axaml.cs", "C#", 29, 0, 0, 0, 0, 7, 36
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\Login\RegisterWindowView.axaml", "XML", 0, 232, 0, 0, 0, 3, 235
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\Login\RegisterWindowView.axaml.cs", "C#", 32, 0, 0, 0, 0, 5, 37
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\MainWindowView.axaml", "XML", 0, 186, 0, 0, 0, 8, 194
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\MainWindowView.axaml.cs", "C#", 45, 0, 0, 0, 0, 10, 55
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\UserControls\UserHeadEditView.axaml", "XML", 0, 341, 0, 0, 0, 2, 343
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\UserControls\UserHeadEditView.axaml.cs", "C#", 163, 0, 0, 0, 30, 33, 226
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\appsettings.json", "JSON", 0, 0, 22, 0, 0, 0, 22
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\bin\Debug\net8.0\ChatClient.Desktop.deps.json", "JSON", 0, 0, 2619, 0, 0, 0, 2619
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\bin\Debug\net8.0\ChatClient.Desktop.runtimeconfig.json", "JSON", 0, 0, 14, 0, 0, 0, 14
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\bin\Debug\net8.0\appsettings.json", "JSON", 0, 0, 22, 0, 0, 0, 22
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\bin\Release\net8.0\ChatClient.Desktop.deps.json", "JSON", 0, 0, 2486, 0, 0, 0, 2486
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\bin\Release\net8.0\ChatClient.Desktop.runtimeconfig.json", "JSON", 0, 0, 15, 0, 0, 0, 15
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\bin\Release\net8.0\appsettings.json", "JSON", 0, 0, 21, 0, 0, 0, 21
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\bin\Release\net8.0\win-x64\ChatClient.Desktop.deps.json", "JSON", 0, 0, 2917, 0, 0, 0, 2917
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\bin\Release\net8.0\win-x64\ChatClient.Desktop.runtimeconfig.json", "JSON", 0, 0, 27, 0, 0, 0, 27
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\bin\Release\net8.0\win-x64\appsettings.json", "JSON", 0, 0, 21, 0, 0, 0, 21
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\bin\Release\net8.0\win-x64\publish\appsettings.json", "JSON", 0, 0, 21, 0, 0, 0, 21
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\obj\ChatClient.Desktop.csproj.nuget.dgspec.json", "JSON", 0, 0, 587, 0, 0, 0, 587
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\obj\ChatClient.Desktop.csproj.nuget.g.props", "XML", 0, 30, 0, 0, 0, 0, 30
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\obj\ChatClient.Desktop.csproj.nuget.g.targets", "XML", 0, 18, 0, 0, 0, 0, 18
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\obj\Debug\net8.0\ChatClient.Desktop.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\obj\Debug\net8.0\ChatClient.Desktop.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 40, 0, 11, 51
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\obj\Release\net8.0\ChatClient.Desktop.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\obj\Release\net8.0\ChatClient.Desktop.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 36, 0, 9, 45
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\obj\Release\net8.0\win-x64\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\obj\Release\net8.0\win-x64\ChatClient.Desktop.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\obj\Release\net8.0\win-x64\ChatClient.Desktop.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 40, 0, 9, 49
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\obj\Release\net8.0\win-x64\ChatClient.Desktop.deps.json", "JSON", 0, 0, 2223, 0, 0, 0, 2223
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\obj\project.assets.json", "JSON", 0, 0, 5967, 0, 0, 0, 5967
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\obj\project.packagespec.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\ChatClient.Tool.csproj", "XML", 0, 24, 0, 0, 0, 6, 30
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Data\Connect.cs", "C#", 16, 0, 0, 0, 0, 3, 19
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Data\FriendReceiveDto.cs", "C#", 8, 0, 0, 0, 0, 4, 12
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Data\FriendRelationDto.cs", "C#", 8, 0, 0, 0, 0, 4, 12
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Data\FriendRequestDto.cs", "C#", 8, 0, 0, 0, 0, 4, 12
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Data\LoginData.cs", "C#", 25, 0, 0, 0, 0, 4, 29
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Data\ThemeStyle.cs", "C#", 73, 0, 0, 0, 0, 8, 81
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Data\UserDto.cs", "C#", 68, 0, 0, 0, 0, 11, 79
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Data\UserOption\UserBasicDetail.cs", "C#", 46, 0, 0, 0, 0, 8, 54
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Events\ChangePageEvent.cs", "C#", 4, 0, 0, 0, 0, 2, 6
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Events\ConnectEvent.cs", "C#", 5, 0, 0, 0, 0, 3, 8
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Events\ResponseEvent.cs", "C#", 6, 0, 0, 0, 0, 3, 9
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\ManagerInterface\IAppDataManager.cs", "C#", 5, 0, 0, 0, 0, 1, 6
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\ManagerInterface\IConnection.cs", "C#", 6, 0, 0, 0, 0, 2, 8
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\ManagerInterface\ILoginData.cs", "C#", 6, 0, 0, 0, 0, 2, 8
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\ManagerInterface\IThemeStyle.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\ManagerInterface\IUserManager.cs", "C#", 15, 0, 0, 0, 0, 6, 21
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\ProtoToDtoProfile.cs", "C#", 19, 0, 0, 0, 0, 2, 21
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Tools\RegionNames.cs", "C#", 7, 0, 0, 0, 0, 1, 8
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Tools\Sex.cs", "C#", 5, 0, 0, 0, 0, 1, 6
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\bin\Debug\net8.0\ChatClient.Tool.deps.json", "JSON", 0, 0, 886, 0, 0, 0, 886
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\bin\Release\net8.0\ChatClient.Tool.deps.json", "JSON", 0, 0, 921, 0, 0, 0, 921
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\obj\ChatClient.Tool.csproj.nuget.dgspec.json", "JSON", 0, 0, 164, 0, 0, 0, 164
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\obj\ChatClient.Tool.csproj.nuget.g.props", "XML", 0, 23, 0, 0, 0, 0, 23
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\obj\ChatClient.Tool.csproj.nuget.g.targets", "XML", 0, 12, 0, 0, 0, 0, 12
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\obj\Debug\net8.0\ChatClient.Tool.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\obj\Debug\net8.0\ChatClient.Tool.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 20, 0, 1, 21
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\obj\Debug\net8.0\ChatClient.Tool.GlobalUsings.g.cs", "C#", 17, 0, 0, 0, 1, 1, 19
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\obj\Release\net8.0\ChatClient.Tool.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\obj\Release\net8.0\ChatClient.Tool.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 20, 0, 1, 21
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\obj\Release\net8.0\ChatClient.Tool.GlobalUsings.g.cs", "C#", 17, 0, 0, 0, 1, 1, 19
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\obj\project.assets.json", "JSON", 0, 0, 2242, 0, 0, 0, 2242
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\obj\project.packagespec.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\ChannelExtensions.cs", "C#", 20, 0, 0, 0, 0, 2, 22
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\ChatServer.Common.csproj", "XML", 0, 12, 0, 0, 0, 4, 16
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\Helper\ProtobufHelper.cs", "C#", 74, 0, 0, 0, 31, 10, 115
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\Protobuf\ChatBaseProtocol.cs", "C#", 254, 0, 0, 0, 8, 42, 304
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\Protobuf\ChatCommunicateProtocol.cs", "C#", 308, 0, 0, 0, 10, 44, 362
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\Protobuf\ChatLoginProtocol.cs", "C#", 559, 0, 0, 0, 25, 79, 663
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\Protobuf\ChatRelationProtocol.cs", "C#", 884, 0, 0, 0, 37, 104, 1025
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\Protobuf\ChatUserProtocol.cs", "C#", 1088, 0, 0, 0, 44, 137, 1269
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\bin\Debug\net6.0\ChatServer.Common.deps.json", "JSON", 0, 0, 41, 0, 0, 0, 41
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\bin\Debug\net6.0\Common.deps.json", "JSON", 0, 0, 41, 0, 0, 0, 41
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\bin\Debug\net6.0\Protobuf_Common.deps.json", "JSON", 0, 0, 41, 0, 0, 0, 41
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\bin\Debug\net8.0\ChatServer.Common.deps.json", "JSON", 0, 0, 232, 0, 0, 0, 232
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\bin\Release\net8.0\ChatServer.Common.deps.json", "JSON", 0, 0, 232, 0, 0, 0, 232
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\CHCommon.csproj.nuget.dgspec.json", "JSON", 0, 0, 93, 0, 0, 0, 93
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\CHCommon.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 16
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\CHCommon.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 2
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\ChatServer.Common.csproj.nuget.dgspec.json", "JSON", 0, 0, 82, 0, 0, 0, 82
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\ChatServer.Common.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 16
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\ChatServer.Common.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 2
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Common.csproj.nuget.dgspec.json", "JSON", 0, 0, 93, 0, 0, 0, 93
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Common.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 16
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Common.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 2
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net6.0\CHCommon.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net6.0\CHCommon.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net6.0\CHCommon.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net6.0\ChatServer.Common.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net6.0\ChatServer.Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net6.0\ChatServer.Common.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net6.0\Common.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net6.0\Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net6.0\Common.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net6.0\Protobuf_Common.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net6.0\Protobuf_Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net6.0\Protobuf_Common.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net8.0\ChatServer.Common.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net8.0\ChatServer.Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Debug\net8.0\ChatServer.Common.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Protobuf_Common.csproj.nuget.dgspec.json", "JSON", 0, 0, 93, 0, 0, 0, 93
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Protobuf_Common.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 16
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Protobuf_Common.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 2
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Release\net8.0\ChatServer.Common.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Release\net8.0\ChatServer.Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\Release\net8.0\ChatServer.Common.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\project.assets.json", "JSON", 0, 0, 547, 0, 0, 0, 547
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\obj\project.packagespec.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"Total", "-", 8253, 2126, 47770, 387, 1613, 1671, 61820