"filename", "language", "C#", "XML", "JSON", "comment", "blank", "total"
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\bin\Release\net8.0\ChatClient.Avalonia.deps.json", "JSON", 0, 0, -1103, 0, 0, -1103
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\BaseServiceExtension.cs", "C#", 3, 0, 0, 1, 1, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Manager\UserManager.cs", "C#", -81, 0, 0, -7, -9, -97
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Mapper\DataToDtoProfile.cs", "C#", 25, 0, 0, 1, 5, 31
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Mapper\ProtoToDtoProfile.cs", "C#", 22, 0, 0, 0, 3, 25
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\MessageHandler\FriendMessageHandler.cs", "C#", 95, 0, 0, 10, 11, 116
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\MessageHandler\IMessageHandler.cs", "C#", 6, 0, 0, 0, 1, 7
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\MessageHandler\MessageHandlerBase.cs", "C#", 25, 0, 0, 0, 8, 33
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Services\FriendService.cs", "C#", 37, 0, 0, 10, 6, 53
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Services\UserLoginService.cs", "C#", 114, 0, 0, 33, 28, 175
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Services\UserService.cs", "C#", 4, 0, 0, 10, 3, 17
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\Client\SocketClient.cs", "C#", 2, 0, 0, 1, 1, 4
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\FriendRequestFromUserResponseProcessor.cs", "C#", 4, 0, 0, 0, 2, 6
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\OutlineMessageResponseProcessor.cs", "C#", 4, 0, 0, 0, 2, 6
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\bin\Release\net8.0\ChatClient.Client.deps.json", "JSON", 0, 0, -989, 0, 0, -989
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\ChatClientDbContext.cs", "C#", 1, 0, 0, 0, 0, 1
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\DataBaseExtensions.cs", "C#", -1, 0, 0, 0, 0, -1
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\DataToDtoProfile.cs", "C#", -16, 0, 0, 0, -3, -19
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\Data\FriendReceived.cs", "C#", -2, 0, 0, 0, 4, 2
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\Data\FriendRelation.cs", "C#", -2, 0, 0, 0, 1, -1
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\Data\FriendRequest.cs", "C#", -10, 0, 0, 0, 2, -8
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\bin\Release\net8.0\ChatClient.DataBase.deps.json", "JSON", 0, 0, -1599, 0, 0, -1599
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\bin\Release\net8.0\ChatClient.DataBase.runtimeconfig.json", "JSON", 0, 0, -14, 0, 0, -14
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\App.axaml.cs", "C#", 1, 0, 0, 0, 0, 1
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\ChatPages\ContactsViewModel.cs", "C#", 15, 0, 0, 0, 2, 17
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\Login\LoginViewModel.cs", "C#", 2, 0, 0, 0, 0, 2
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\ViewModels\Login\RegisterWindowViewModel.cs", "C#", 4, 0, 0, 0, 0, 4
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Desktop\Views\ChatPages\ContactsView.axaml", "XML", 0, 30, 0, 0, 0, 30
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Data\FriendReceiveDto.cs", "C#", 1, 0, 0, 0, 1, 2
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Data\FriendRelationDto.cs", "C#", 1, 0, 0, 0, 1, 2
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Data\OutlineMessageDto.cs", "C#", 7, 0, 0, 0, 2, 9
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\Data\UserData.cs", "C#", 16, 0, 0, 0, 5, 21
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\ProtoToDtoProfile.cs", "C#", -19, 0, 0, 0, -2, -21
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Tool\bin\Release\net8.0\ChatClient.Tool.deps.json", "JSON", 0, 0, -921, 0, 0, -921
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\Protobuf\ChatRelationProtocol.cs", "C#", 261, 0, 0, 6, 22, 289
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\Protobuf\ChatUserProtocol.cs", "C#", 590, 0, 0, 16, 61, 667
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\bin\Debug\net6.0\ChatServer.Common.deps.json", "JSON", 0, 0, -41, 0, 0, -41
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\bin\Debug\net6.0\Common.deps.json", "JSON", 0, 0, -41, 0, 0, -41
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\bin\Debug\net6.0\Protobuf_Common.deps.json", "JSON", 0, 0, -41, 0, 0, -41
"d:\LanguageLearnig\Avalonia\ChatClient\ChatServer.Common\bin\Release\net8.0\ChatServer.Common.deps.json", "JSON", 0, 0, -232, 0, 0, -232
"Total", "-", 1109, 30, -4981, 81, 158, -3603